ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
49.0351,6.521043,4.61109,6.489725,4.588912,15.98893,0.2756149,3.105009,0.3733333,ACCELERATE
26.52792,6.52091,4.611073,6.489857,4.588929,15.98893,0.2757066,3.105008,0.4263225,ACCELERATE
26.49496,6.520908,4.611071,6.489859,4.588931,15.98893,0.2757223,3.105008,0.4458116,ACCELERATE
26.48998,6.520906,4.61107,6.489861,4.588932,15.98893,0.2757249,3.105008,0.4503408,ACCELERATE
26.4859,6.520902,4.611067,6.489864,4.588934,15.98893,0.2757443,3.105014,0.5000502,ACCELERATE
26.48604,6.520895,4.611062,6.489872,4.588939,15.98894,0.2757469,3.105027,0.6033404,ACCELERATE
26.48717,6.520889,4.611057,6.489878,4.588944,15.98894,0.2757441,3.105027,0.7005246,ACCELERATE
26.48786,6.520883,4.611053,6.489885,4.588949,15.98895,0.2757483,3.10506,0.8034616,ACCELERATE
26.48719,6.520876,4.611048,6.489891,4.588953,15.98895,0.2757436,3.10508,0.9021351,ACCELERATE
26.48767,6.520871,4.611044,6.489897,4.588957,15.98896,0.2757449,3.105093,1.000138,ACCELERATE
26.48775,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757477,3.105129,1.102624,ACCELERATE
26.48759,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757429,3.105142,1.204321,ACCELERATE
26.48762,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757453,3.105155,1.301974,ACCELERATE
26.48776,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757478,3.105196,1.401595,ACCELERATE
26.48749,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757425,3.105202,1.501754,ACCELERATE
26.48768,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757464,3.10522,1.603525,ACCELERATE
26.48732,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757449,3.105248,1.702194,ACCELERATE
26.48756,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757425,3.105249,1.800801,ACCELERATE
26.48782,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757475,3.105291,1.901888,ACCELERATE
26.48717,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757458,3.10532,2.002316,ACCELERATE
26.48756,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757424,3.10532,2.101877,ACCELERATE
26.4877,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757462,3.105343,2.200796,ACCELERATE
26.48749,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757462,3.105377,2.301551,ACCELERATE
26.48756,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757425,3.105376,2.401009,ACCELERATE
26.48774,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757473,3.10541,2.502455,ACCELERATE
26.48719,6.520868,4.611042,6.489899,4.588959,15.98896,0.275746,3.105445,2.600991,ACCELERATE
26.48766,6.520868,4.611042,6.489899,4.588959,15.98896,0.275746,3.105464,2.702801,ACCELERATE
26.48739,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757468,3.105499,2.803117,ACCELERATE
26.48731,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757452,3.105522,2.900497,ACCELERATE
26.48723,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757461,3.105553,3.000609,ACCELERATE
26.26534,6.520888,4.611039,6.489878,4.588962,15.98896,0.2757285,3.144482,3.102051,ACCELERATE
25.91247,6.520944,4.61103,6.489823,4.588972,15.98897,0.2757051,3.321209,3.200419,ACCELERATE
25.734,6.521016,4.611023,6.489752,4.588978,15.98898,0.2756978,3.645053,3.301558,ACCELERATE
22.76587,6.530642,4.61184,6.480203,4.588169,15.98796,0.2865551,4.092665,3.401274,LEFT_ACCELERATE
25.28737,6.854369,4.647209,6.194589,4.560588,15.95414,0.2779088,4.661428,3.50173,LEFT_ACCELERATE
24.25237,7.888487,4.808486,5.565917,4.478648,15.82966,0.2802802,5.326918,3.601084,LEFT_ACCELERATE
15.77703,10.15315,5.207584,4.807544,4.333089,15.56602,0.278758,6.058822,3.700882,LEFT_ACCELERATE
10.76686,13.10385,5.774561,4.167112,4.056837,15.18071,0.2793918,6.857871,3.802562,LEFT_ACCELERATE
8.823338,15.21772,6.303144,3.654887,3.654944,14.75951,0.2790451,7.696755,3.900257,ACCELERATE
7.706399,16.30065,6.773897,3.181706,3.177422,14.32134,0.2792326,8.6437,4.000586,RIGHT_ACCELERATE
7.418359,15.7199,7.10322,2.782573,2.677814,13.90442,0.2791451,9.706201,4.10329,RIGHT_ACCELERATE
8.787343,13.81207,7.209182,2.57883,2.301,13.61718,0.2791955,10.7993,4.200105,RIGHT_ACCELERATE
10.42918,12.89641,7.31498,2.436056,2.063347,13.41564,0.279165,12.03544,4.302766,RIGHT_ACCELERATE
9.825141,13.09135,7.49539,2.221437,1.869712,13.22945,0.2791686,13.25753,4.400056,ACCELERATE
8.648491,13.48391,7.717053,1.958205,1.648609,13.01153,0.2791576,14.55803,4.500303,ACCELERATE
8.421916,13.45132,7.915268,1.711592,1.41339,12.78581,0.2791601,15.94803,4.604193,RIGHT_ACCELERATE
8.803831,13.25236,8.050138,1.537976,1.240783,12.62287,0.279158,17.27856,4.700723,ACCELERATE
7.540098,13.54467,8.229274,1.315864,1.061439,12.44432,0.2791588,18.7138,4.80269,ACCELERATE
6.356384,13.79807,8.409713,1.090493,0.8775505,12.263,0.279158,20.11801,4.900723,RIGHT_ACCELERATE
8.139443,13.21605,8.506594,0.9478492,0.7303717,12.12448,0.2791612,21.5829,5.001177,RIGHT_ACCELERATE
24.24796,11.81914,8.463911,1.055497,0.7368367,12.14056,0.2791859,23.05079,5.100615,RIGHT_ACCELERATE
24.07724,10.15981,8.334229,1.655044,0.9829308,12.38335,0.2792022,24.50811,5.200407,RIGHT_ACCELERATE
21.60809,8.841034,8.093938,3.002243,1.497268,12.85671,0.2791946,25.92701,5.301218,RIGHT_ACCELERATE
17.90149,7.862975,7.657968,4.940477,2.175222,13.45755,0.2791786,27.28243,5.400857,RIGHT_ACCELERATE
15.88214,7.11906,7.025814,6.712278,2.868233,14.08724,0.2791641,28.64024,5.501366,ACCELERATE
14.3541,6.481698,6.394547,8.203052,3.497837,14.69965,0.2791603,30.03374,5.603569,ACCELERATE
12.79809,5.84149,5.760962,10.7139,4.129797,15.26203,0.2791601,31.36247,5.70044,ACCELERATE
11.27398,5.220766,5.147655,24.91959,4.742062,15.8338,0.2791594,32.7464,5.800969,ACCELERATE
9.824335,4.613515,4.528397,25.02776,5.340243,16.39754,0.2791591,34.14231,5.902042,LEFT_ACCELERATE
9.153583,4.178599,3.925363,26.06652,5.756136,16.88194,0.2791662,35.53935,6.001419,LEFT_ACCELERATE
9.352041,3.970026,3.480632,28.32167,5.958589,17.20254,0.2791838,36.98097,6.100803,LEFT_ACCELERATE
9.545229,3.85922,3.261856,29.41746,6.084316,17.3403,0.2791795,38.46001,6.200727,LEFT_ACCELERATE
8.897477,3.629198,3.098695,28.60371,6.27549,17.38861,0.2791705,39.97186,6.302316,LEFT_ACCELERATE
8.7672,3.467696,2.915293,28.80436,6.418051,17.3433,0.2791736,41.48063,6.403787,LEFT_ACCELERATE
9.620827,3.547714,2.831082,31.11471,6.41487,17.11042,0.2791951,42.93758,6.503127,LEFT_ACCELERATE
11.54263,3.933749,2.907596,37.4631,6.290405,16.63568,0.27921,44.32407,6.601933,LEFT_ACCELERATE
13.27258,4.485699,3.161907,10.10763,6.07716,15.91751,0.2791974,45.66032,6.704115,LEFT_ACCELERATE
14.90216,5.156293,3.504589,8.411914,5.798814,15.05649,0.2791963,46.8586,6.803452,LEFT_ACCELERATE
15.89745,5.772517,3.90454,7.488763,5.43896,14.07248,0.2791851,47.94567,6.902051,LEFT_ACCELERATE
15.96959,6.133938,4.255194,7.111828,5.050488,13.01317,0.2791729,49.00109,7.002497,LEFT_ACCELERATE
17.12046,6.728591,4.630655,6.296584,4.716427,11.88411,0.279181,49.94789,7.101621,LEFT_ACCELERATE
19.31409,7.63542,5.123885,5.301572,4.325764,10.6311,0.2791924,50.72749,7.20099,LEFT_ACCELERATE
21.29755,8.37009,5.650215,4.564152,3.816122,9.268278,0.2791817,51.3697,7.302297,LEFT_ACCELERATE
21.48189,8.565268,6.037529,4.184246,3.313864,7.896959,0.2791698,51.9505,7.402311,ACCELERATE
20.19574,8.384252,6.262087,4.166096,2.981251,6.562046,0.279164,52.54337,7.500395,LEFT_ACCELERATE
20.51097,8.336668,6.417825,4.152191,2.801151,5.160018,0.2791593,53.14695,7.602915,LEFT_ACCELERATE
24.14769,8.574627,6.576519,3.860702,2.649971,3.779482,0.27917,53.6047,7.700723,LEFT_ACCELERATE
24.47614,7.899811,6.722043,3.768082,2.499983,2.312629,0.2791679,53.9739,7.802318,LEFT_ACCELERATE
24.54752,7.782123,6.760249,4.093649,2.472353,0.870382,0.2791626,54.33269,7.902108,LEFT_ACCELERATE
24.54813,7.072203,6.280158,4.442191,2.546043,-0.579084,0.2791623,54.66859,8.002015,LEFT_ACCELERATE
24.56441,7.026875,6.228644,5.059608,2.726694,-2.002603,0.2791606,54.99088,8.100008,ACCELERATE
24.56839,7.032539,6.234682,5.752486,3.035388,-3.496045,0.2791607,55.34288,8.20302,ACCELERATE
23.34276,6.92349,6.118747,6.425379,3.38976,-4.913674,0.2791601,55.68546,8.300934,ACCELERATE
21.88168,6.509982,5.772533,7.120777,3.756161,-6.35338,0.2791602,56.03889,8.400457,ACCELERATE
20.37547,6.081728,5.393034,7.841018,4.135775,-7.832387,0.2791622,56.40586,8.50276,ACCELERATE
18.90084,5.661231,5.020278,8.548197,4.508592,-9.272273,0.2791602,56.76552,8.602397,ACCELERATE
17.51226,5.252127,4.652691,9.224258,4.873598,-10.68835,0.2791594,57.12013,8.700401,LEFT_ACCELERATE
17.90813,5.011419,4.280182,-1,-1,-12.175,0.2791629,57.44358,8.802609,LEFT_ACCELERATE
18.69066,4.610378,3.760737,-1,-1,-13.65961,0.2791645,57.6528,8.903328,LEFT_ACCELERATE
17.4748,4.513628,3.668613,-1,-1,-15.09247,0.279161,57.83345,9.000292,ACCELERATE
16.07955,4.460663,3.618864,-1,-1,-16.59355,0.2791611,58.03268,9.101952,LEFT_ACCELERATE
16.12666,3.206959,2.499199,-1,-1,-18.05882,0.2791629,58.18198,9.200894,LEFT_ACCELERATE
16.9232,1.176599,0.8613105,-1,-1,-19.57634,0.2791697,58.205,9.302896,LEFT_ACCELERATE
15.98525,0.8474037,0.614208,-1,-1,-21.05308,0.2791627,58.17771,9.402068,ACCELERATE
14.56768,0.8496021,0.615823,-1,-1,-22.53315,0.2791618,58.16455,9.501443,ACCELERATE
13.09189,0.8531434,0.6184497,-1,-1,-24.03708,0.2791616,58.1627,9.602412,ACCELERATE
11.60858,0.8554163,0.6201376,-1,-1,-25.55149,0.2791597,58.16823,9.704084,LEFT_ACCELERATE
10.76358,0.9393669,0.6827288,-1,-1,-26.98746,0.2791607,58.14757,9.800531,LEFT_ACCELERATE
11.0131,3.439686,2.702301,-1,-1,-28.49116,0.279177,57.99329,9.902203,LEFT_ACCELERATE
12.34095,6.794611,5.937931,4.429771,3.295503,-29.90398,0.2791983,57.63948,10.0003,LEFT_ACCELERATE
14.14625,8.975864,5.740518,4.999875,3.516764,-31.27659,0.2791999,57.03609,10.10131,LEFT_ACCELERATE
15.13436,7.953898,5.462318,5.529642,3.824264,-32.54417,0.2791884,56.27504,10.20078,LEFT_ACCELERATE
16.76114,6.773616,5.140159,6.312737,4.238043,-33.74825,0.2791987,55.33881,10.30346,LEFT_ACCELERATE
19.35905,5.54017,4.768415,7.485991,4.806036,-34.72918,0.2792105,54.27511,10.40099,LEFT_ACCELERATE
21.59366,4.547323,4.219167,8.70982,5.501661,-35.56683,0.2791961,53.02438,10.50236,LEFT_ACCELERATE
22.88945,3.788675,3.518954,9.484163,6.148985,-36.28247,0.2791779,51.70563,10.60319,LEFT_ACCELERATE
22.31054,3.298866,2.862101,9.611017,6.613237,-36.96812,0.279171,50.39238,10.70268,ACCELERATE
20.93883,3.065058,2.409722,9.421715,6.8921,-37.67973,0.2791632,49.10346,10.80155,ACCELERATE
19.51718,3.061605,2.159983,9.112516,7.051678,-38.41628,0.2791608,47.82107,10.90084,ACCELERATE
18.15108,3.362329,2.095938,8.718417,7.104041,-39.18745,0.2791613,46.50565,11.00321,LEFT_ACCELERATE
18.36715,3.626033,2.136286,8.514026,7.074847,-39.88845,0.2791636,45.20668,11.10238,LEFT_ACCELERATE
21.4117,3.513344,2.150787,8.622867,7.058566,-40.44246,0.2791825,43.85487,11.20068,LEFT_ACCELERATE
24.1971,3.214283,2.081779,8.905853,7.120298,-40.81739,0.2791828,42.39574,11.30208,LEFT_ACCELERATE
24.4141,3.155049,2.008572,8.949977,7.190822,-41.0665,0.2791752,40.93897,11.40136,LEFT_ACCELERATE
24.53459,3.493987,2.047093,8.700856,7.192805,-41.31301,0.2791637,39.44032,11.50335,ACCELERATE
24.55957,3.971063,2.218244,8.390456,7.092072,-41.57187,0.2791631,38.01583,11.60056,ACCELERATE
24.56705,4.4982,2.502621,8.048142,6.887146,-41.85802,0.2791607,36.53224,11.702,ACCELERATE
24.57039,5.041688,2.804325,7.695672,6.602779,-42.15369,0.2791622,35.0546,11.80317,ACCELERATE
24.57109,5.58513,3.106166,7.34345,6.30115,-42.44821,0.2791605,33.61575,11.90178,ACCELERATE
24.57065,6.144964,3.417228,6.980699,5.990216,-42.75256,0.2791606,32.15038,12.00225,ACCELERATE
24.56923,6.679556,3.723886,6.629752,5.679764,-43.05403,0.2791581,30.70745,12.10122,LEFT_ACCELERATE
24.48149,6.697598,3.954334,6.518686,5.370111,-43.30915,0.2791623,29.24186,12.20116,LEFT_ACCELERATE
24.52653,6.705575,4.114241,6.452104,5.165928,-43.48489,0.2791625,27.739,12.30277,ACCELERATE
24.559,6.982357,4.285449,6.239394,4.994382,-43.6554,0.2791604,26.26665,12.40227,ACCELERATE
24.56799,7.278502,4.466588,6.01264,4.813388,-43.83508,0.2791598,24.78678,12.50235,ACCELERATE
24.56902,7.576828,4.649187,5.784227,4.630895,-44.0171,0.2791601,23.33143,12.60082,ACCELERATE
24.5704,7.891431,4.841932,5.543299,4.438216,-44.20668,0.2791598,21.84459,12.70145,ACCELERATE
24.57165,8.205952,5.034744,5.302386,4.245438,-44.39785,0.2791593,20.36425,12.80166,ACCELERATE
24.57027,8.521948,5.228539,5.060303,4.051659,-44.59076,0.2791603,18.88281,12.90195,ACCELERATE
24.57091,8.844328,5.426311,4.813288,3.853892,-44.78791,0.2791605,17.37655,13.00394,LEFT_ACCELERATE
24.52401,8.80899,5.574876,4.704285,3.6757,-44.94983,0.2791605,15.9456,13.10065,LEFT_ACCELERATE
24.54747,8.756309,5.675873,4.642231,3.555993,-45.05997,0.2791605,14.43337,13.20246,ACCELERATE
24.56477,8.919711,5.782639,4.503276,3.449125,-45.16693,0.2791607,12.97561,13.30059,ACCELERATE
24.56924,9.098894,5.898365,4.351975,3.33345,-45.28217,0.2791596,11.47304,13.40176,ACCELERATE
24.57058,9.277722,6.013983,4.200896,3.217868,-45.39769,0.2791597,10.00916,13.50034,LEFT_ACCELERATE
24.50719,9.060461,6.09093,4.205405,3.120241,-45.48476,0.2791615,8.495035,13.60221,LEFT_ACCELERATE
24.49278,8.561597,6.068925,4.439021,3.131104,-45.46731,0.2791638,7.004952,13.70231,LEFT_ACCELERATE
24.54878,8.464201,6.028519,4.518279,3.171724,-45.42704,0.2791602,5.548271,13.80015,ACCELERATE
24.56499,8.420931,5.997069,4.562584,3.203167,-45.39588,0.279162,4.043565,13.90119,ACCELERATE
24.56938,8.38837,5.973196,4.596045,3.227034,-45.37228,0.2791606,2.571773,14.00002,ACCELERATE
24.57039,8.361074,5.953328,4.623993,3.246896,-45.35254,0.2791605,1.047401,14.10236,ACCELERATE
24.57105,8.3384,5.936946,4.647132,3.263276,-45.33627,0.2791589,-0.4465036,14.20266,ACCELERATE
24.57015,8.318512,5.922663,4.667372,3.277558,-45.32203,0.2791603,-1.938428,14.30282,ACCELERATE
