ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
49.0351,6.521043,4.61109,6.489725,4.588912,15.98893,0.2756149,3.105009,0.3733333,NONE
26.52792,6.52091,4.611073,6.489857,4.588929,15.98893,0.2757131,3.105008,0.4335498,ACCELERATE
26.49299,6.520908,4.611071,6.489859,4.588931,15.98893,0.2757238,3.105008,0.4484474,ACCELERATE
26.48967,6.520905,4.611069,6.489861,4.588933,15.98893,0.2757264,3.105008,0.4528911,ACCELERATE
26.48601,6.520902,4.611067,6.489864,4.588934,15.98893,0.2757429,3.105008,0.5049051,ACCELERATE
26.48625,6.520895,4.611062,6.489871,4.588939,15.98894,0.2757459,3.105011,0.6133815,ACCELERATE
26.48767,6.520889,4.611057,6.489878,4.588944,15.98894,0.2757449,3.105016,0.7019971,ACCELERATE
26.48769,6.520884,4.611053,6.489883,4.588948,15.98895,0.2757447,3.105036,0.8049124,ACCELERATE
26.4877,6.520876,4.611048,6.489892,4.588953,15.98895,0.2757445,3.105056,0.9005715,ACCELERATE
26.48761,6.520869,4.611043,6.489898,4.588958,15.98896,0.2757444,3.105075,1.003165,ACCELERATE
26.48763,6.520868,4.611042,6.489899,4.588959,15.98896,0.275744,3.105093,1.100443,ACCELERATE
26.48771,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757448,3.105117,1.205567,ACCELERATE
26.48767,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757443,3.105137,1.305809,ACCELERATE
26.48767,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757439,3.105152,1.401039,ACCELERATE
26.48768,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757444,3.105171,1.506937,ACCELERATE
26.48774,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757442,3.105189,1.605281,ACCELERATE
26.48769,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757445,3.10521,1.702695,ACCELERATE
26.48771,6.520868,4.611042,6.489899,4.588959,15.98896,0.275745,3.105234,1.802873,ACCELERATE
26.48771,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757452,3.105258,1.901975,ACCELERATE
26.48751,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757455,3.105283,2.001723,ACCELERATE
26.4876,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757442,3.105298,2.10265,ACCELERATE
26.48765,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757453,3.10532,2.204348,ACCELERATE
26.48764,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757453,3.105346,2.304204,ACCELERATE
26.4875,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757427,3.105353,2.40263,ACCELERATE
26.48765,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757454,3.105373,2.504034,ACCELERATE
26.48765,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757455,3.105399,2.602597,ACCELERATE
26.48771,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757436,3.105417,2.702189,ACCELERATE
26.48765,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757443,3.105427,2.802393,ACCELERATE
26.48767,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757452,3.105451,2.900651,ACCELERATE
26.48774,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757455,3.105478,3.00261,ACCELERATE
26.25854,6.52089,4.611039,6.489878,4.588962,15.98896,0.2757263,3.147496,3.104625,ACCELERATE
25.91186,6.520944,4.61103,6.489823,4.588972,15.98897,0.2757051,3.326076,3.202293,ACCELERATE
25.73705,6.521016,4.611024,6.489753,4.588977,15.98898,0.2756975,3.640908,3.30054,ACCELERATE
22.46437,6.521214,4.61103,6.489554,4.588972,15.98897,0.2845325,4.112913,3.40519,ACCELERATE
24.89127,6.493218,4.609347,6.517745,4.590724,15.99102,0.2775871,4.653028,3.500115,RIGHT_ACCELERATE
24.55416,6.150141,4.574407,6.917953,4.637965,16.03686,0.2802678,5.343287,3.60104,RIGHT_ACCELERATE
25.02291,5.636346,4.471721,7.725796,4.796491,16.16919,0.2788349,6.136267,3.702542,RIGHT_ACCELERATE
24.62093,5.364878,4.319087,8.156956,4.96878,16.33075,0.2793529,7.019599,3.8034,ACCELERATE
24.79081,5.174284,4.164514,8.407056,5.122963,16.48356,0.2790618,7.971117,3.901833,ACCELERATE
24.66147,4.979844,4.007399,8.662752,5.279856,16.63745,0.2792301,8.999738,4.000213,ACCELERATE
24.67926,4.772572,3.840242,8.935682,5.446878,16.8042,0.279141,10.15552,4.103618,ACCELERATE
24.61835,4.565097,3.673095,9.209085,5.613947,16.96972,0.2791752,11.32497,4.202653,ACCELERATE
24.61158,4.349993,3.499882,9.492638,5.787102,17.14276,0.279155,12.56049,4.302643,ACCELERATE
24.5828,4.14166,3.319322,9.729978,5.962199,17.31757,0.2791649,13.83663,4.40203,LEFT_ACCELERATE
24.52385,4.111561,3.169904,9.432787,6.067547,17.44773,0.2791591,15.20591,4.504899,LEFT_ACCELERATE
24.54333,4.021868,3.075827,9.477001,6.154719,17.53941,0.2791609,16.57439,4.604753,ACCELERATE
24.54563,3.893081,2.977418,9.628885,6.253152,17.6373,0.2791596,17.93813,4.702056,ACCELERATE
24.53877,3.754275,2.871468,9.792957,6.35916,17.74319,0.2791593,19.34566,4.800597,ACCELERATE
23.34068,3.606274,2.75839,9.967665,6.472273,17.85626,0.2791592,20.80498,4.901098,ACCELERATE
21.82156,3.448373,2.637675,10.15388,6.593008,17.97592,0.2791571,22.32069,5.004004,ACCELERATE
20.39883,3.299049,2.523481,10.32988,6.70721,18.09007,0.2791589,23.74954,5.100259,ACCELERATE
18.8883,3.139528,2.401465,10.51782,6.829227,18.21186,0.2791604,25.26219,5.202141,ACCELERATE
17.42819,2.984695,2.283022,10.70018,6.947666,18.33027,0.2791601,26.72519,5.300681,ACCELERATE
15.924,2.824762,2.160671,10.88851,7.070011,18.45198,0.2791606,28.22387,5.401626,ACCELERATE
14.45825,2.668648,2.041239,11.11948,7.189435,18.57105,0.2791603,29.6869,5.500171,ACCELERATE
12.94352,2.507138,1.917679,11.593,7.312987,18.69391,0.2791595,31.19413,5.601693,ACCELERATE
11.41786,2.344354,1.793144,12.50691,7.43751,18.81841,0.279161,32.72018,5.704484,ACCELERATE
9.971915,2.190021,1.675076,14.54569,7.555568,18.93577,0.2791594,34.15789,5.801326,ACCELERATE
8.494933,2.032346,1.554454,32.12554,7.676179,19.05679,0.2791625,35.64063,5.901199,LEFT_ACCELERATE
7.76608,1.920907,1.456078,33.06322,7.764122,19.14627,0.2791616,37.16287,6.003619,LEFT_ACCELERATE
8.515491,1.976524,1.449507,33.97038,7.7513,19.10057,0.2791758,38.59954,6.100299,LEFT_ACCELERATE
