ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521043,4.61109,6.489725,4.588912,15.98893,0.2756149,3.105009,0.3733333,NONE
-1,6.52091,4.611073,6.489857,4.588929,15.98893,0.2757039,3.105008,0.4232606,NONE
-1,6.520908,4.611071,6.489859,4.588931,15.98893,0.2757168,3.105008,0.4377316,NONE
-1,6.520908,4.611071,6.489859,4.588931,15.98893,0.275722,3.105009,0.4450176,NONE
-1,6.520902,4.611067,6.489865,4.588934,15.98893,0.2757431,3.105009,0.5064733,NONE
-1,6.520896,4.611063,6.48987,4.588938,15.98894,0.2757459,3.105009,0.601405,RIGHT_ACCELERATE
-1,6.520903,4.611065,6.489864,4.588936,15.98893,0.2757446,3.105014,0.704322,RIGHT_ACCELERATE
-1,6.520927,4.611078,6.489841,4.588923,15.98892,0.2757436,3.105018,0.8062425,RIGHT_ACCELERATE
-1,6.520947,4.611091,6.48982,4.588911,15.98891,0.2757437,3.105024,0.9022346,RIGHT_ACCELERATE
-1,6.520964,4.611101,6.489804,4.5889,15.9889,0.2757436,3.10503,1.004076,RIGHT_ACCELERATE
-1,6.520966,4.611103,6.489802,4.588898,15.9889,0.2757441,3.105038,1.100605,RIGHT_ACCELERATE
-1,6.520966,4.611103,6.489802,4.588898,15.9889,0.2757436,3.105043,1.202069,RIGHT_ACCELERATE
-1,6.520966,4.611103,6.489802,4.588898,15.9889,0.2757434,3.105045,1.303296,RIGHT_ACCELERATE
-1,6.520966,4.611103,6.489802,4.588898,15.9889,0.2757434,3.105046,1.404723,RIGHT_ACCELERATE
-1,6.520966,4.611103,6.489802,4.588898,15.9889,0.2757435,3.105049,1.502084,RIGHT_ACCELERATE
-1,6.520966,4.611103,6.489802,4.588898,15.9889,0.2757435,3.105048,1.601515,RIGHT_ACCELERATE
-1,6.520966,4.611103,6.489802,4.588898,15.9889,0.2757434,3.105049,1.704061,RIGHT_ACCELERATE
-1,6.520966,4.611103,6.489802,4.588898,15.9889,0.2757436,3.105049,1.800778,RIGHT_ACCELERATE
-1,6.520966,4.611103,6.489802,4.588898,15.9889,0.2757436,3.10505,1.908081,RIGHT_ACCELERATE
-1,6.520966,4.611103,6.489802,4.588898,15.9889,0.2757435,3.105052,2.000838,RIGHT_ACCELERATE
-1,6.520966,4.611103,6.489802,4.588898,15.9889,0.2757436,3.105052,2.105304,RIGHT_ACCELERATE
-1,6.520966,4.611103,6.489802,4.588898,15.9889,0.2757437,3.105055,2.201831,ACCELERATE
-1,6.520966,4.611103,6.489802,4.588898,15.9889,0.2757444,3.105061,2.305182,ACCELERATE
-1,6.520965,4.611103,6.489802,4.588898,15.9889,0.2757435,3.105063,2.40042,ACCELERATE
-1,6.520965,4.611103,6.489802,4.588898,15.9889,0.2757444,3.105076,2.50708,ACCELERATE
-1,6.520965,4.611103,6.489802,4.588898,15.9889,0.2757441,3.105085,2.605226,ACCELERATE
-1,6.520965,4.611103,6.489802,4.588898,15.9889,0.2757444,3.105096,2.70105,ACCELERATE
-1,6.520965,4.611103,6.489802,4.588898,15.9889,0.2757438,3.105106,2.803986,ACCELERATE
-1,6.520965,4.611103,6.489802,4.588898,15.9889,0.2757441,3.105119,2.906476,ACCELERATE
-1,6.520965,4.611103,6.489802,4.588898,15.9889,0.2757446,3.105132,3.002001,ACCELERATE
-1,6.520984,4.611101,6.489782,4.5889,15.9889,0.2757266,3.143006,3.101186,ACCELERATE
-1,6.521043,4.611092,6.489725,4.58891,15.98891,0.2757055,3.329891,3.203877,ACCELERATE
-1,6.521114,4.611086,6.489655,4.588915,15.98891,0.2756982,3.64611,3.301932,ACCELERATE
-1,6.521276,4.611091,6.489493,4.588911,15.98891,0.2866561,4.091218,3.401079,ACCELERATE
-1,6.501407,4.610053,6.509435,4.589984,15.9904,0.2776917,4.656024,3.500635,RIGHT_ACCELERATE
-1,6.145189,4.574255,6.924698,4.638507,16.03867,0.2797377,5.383992,3.606492,RIGHT_ACCELERATE
-1,5.523122,4.473027,7.981636,4.823627,16.18891,0.2790123,6.162064,3.706308,RIGHT_ACCELERATE
-1,5.058282,4.289801,8.992921,5.09124,16.41053,0.2793339,7.004579,3.804372,RIGHT_ACCELERATE
-1,4.761362,4.056022,9.486553,5.334777,16.64388,0.2790811,7.942283,3.903404,ACCELERATE
-1,4.480585,3.815766,9.908459,5.574409,16.87845,0.2792069,8.978745,4.004121,ACCELERATE
-1,4.196299,3.573079,-1,5.816734,17.11782,0.2791443,10.08692,4.104729,ACCELERATE
-1,3.903068,3.323094,-1,6.066517,17.36222,0.2791736,11.24616,4.204289,ACCELERATE
-1,3.602651,3.065097,-1,6.322914,17.61502,0.2791558,12.46469,4.304211,LEFT_ACCELERATE
