ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521043,4.61109,6.489725,4.588912,15.98893,0.2756149,3.105009,0.3733333,ACCELERATE
-1,6.52091,4.611073,6.489857,4.588929,15.98893,0.2757059,3.105008,0.4255204,ACCELERATE
-1,6.520908,4.611071,6.489859,4.588931,15.98893,0.2757187,3.105008,0.439753,ACCELERATE
-1,6.520906,4.61107,6.489861,4.588932,15.98893,0.2757233,3.105009,0.4474491,ACCELERATE
-1,6.520902,4.611067,6.489864,4.588934,15.98893,0.2757426,3.105009,0.5029507,ACCELERATE
-1,6.520895,4.611062,6.489871,4.588939,15.98894,0.2757461,3.105011,0.6085895,ACCELERATE
-1,6.520889,4.611057,6.489878,4.588944,15.98894,0.2757449,3.105016,0.7004119,ACCELERATE
-1,6.520883,4.611053,6.489885,4.588949,15.98895,0.2757445,3.105029,0.8055198,ACCELERATE
-1,6.520876,4.611048,6.489892,4.588953,15.98895,0.2757444,3.105044,0.9024943,ACCELERATE
-1,6.520869,4.611043,6.489898,4.588958,15.98896,0.2757441,3.105057,1.00015,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757444,3.105071,1.105528,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757445,3.105088,1.207366,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757441,3.105102,1.301648,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757442,3.105118,1.406549,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757439,3.105133,1.50102,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757445,3.105148,1.602768,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757442,3.105163,1.704275,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757443,3.10518,1.806378,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757441,3.105196,1.900125,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.275744,3.105213,2.001853,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757436,3.105226,2.105096,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757438,3.10524,2.200556,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757445,3.105256,2.304445,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757442,3.105269,2.405049,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757444,3.105288,2.507299,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757438,3.105299,2.604486,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757441,3.105314,2.703714,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757444,3.105329,2.804576,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.275744,3.105341,2.907272,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757443,3.105358,3.001002,ACCELERATE
-1,6.520889,4.611039,6.489878,4.588962,15.98896,0.2757251,3.150215,3.106995,ACCELERATE
-1,6.520942,4.611031,6.489825,4.588971,15.98897,0.2757055,3.32221,3.200876,ACCELERATE
-1,6.521014,4.611023,6.489755,4.588978,15.98898,0.2756979,3.647491,3.302218,ACCELERATE
-1,6.521191,4.611028,6.489576,4.588974,15.98897,0.2849357,4.108737,3.40441,ACCELERATE
-1,6.521391,4.611064,6.489378,4.588937,15.98893,0.2790743,4.700521,3.50749,ACCELERATE
